title,price,square_meters,rooms,interior_state,postal_code,neighborhood,url
For rent: Flat Van Vollenhovenstraat in Rotterdam,2500,70,2,Furnished,3016 BJ,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/9b357910/van-vollenhovenstraat
For rent: Studio Vierambachtsstraat in Rotterdam,1395,30,2,Furnished,3023 AT,Nieuwe Westen,https://www.pararius.com/studio-for-rent/rotterdam/153afd8e/vierambachtsstraat
For rent: Room Middellandplein in Rotterdam,464,20,1,Upholstered,3021 BV,Middelland,https://www.pararius.com/room-for-rent/rotterdam/fb99642a/middellandplein
For rent: Flat Van Weelstraat in Rotterdam,2500,100,4,Furnished,3022 ZE,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/36574cbd/van-weelstraat
For rent: Flat Westersingel 52 A in Rotterdam,2200,95,3,Upholstered,3014 GV,Oude Westen,https://www.pararius.com/apartment-for-rent/rotterdam/1a7aebf5/westersingel
For rent: Flat Gedempte Zalmhaven in Rotterdam,5250,219,4,Furnished,3016 DT,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/e4debfe4/gedempte-zalmhaven
For rent: Flat Schieweg 194 C 03 in Rotterdam,1750,90,5,Upholstered,3038 BL,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/804c2dcc/schieweg
For rent: Flat Weena 69 D in Rotterdam,2245,86,3,,3013 CG,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/f158c3f4/weena
For rent: Flat Zweedsestraat in Rotterdam,2500,77,4,Furnished,3028 TR,Oud Mathenesse,https://www.pararius.com/apartment-for-rent/rotterdam/89dcf33a/zweedsestraat
For rent: Flat Churchillplein in Rotterdam,1995,88,3,Upholstered,3011 EW,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/dafd04ad/churchillplein
For rent: Flat Bundweg 65 in Rotterdam,2505,128,3,Upholstered,3072 JX,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/f22442ba/bundweg
For rent: Flat Robert Baeldestraat in Rotterdam,1900,77,3,Furnished,3061 TJ,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/4fb5816b/robert-baeldestraat
For rent: Flat Laan op Zuid in Rotterdam,2500,100,3,Furnished,3071 AB,Kop van Zuid - Entrepot,https://www.pararius.com/apartment-for-rent/rotterdam/2bf84efb/laan-op-zuid
For rent: House Voorhout in Rotterdam,2700,90,3,Upholstered,3055 ES,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/e1d1a84c/voorhout
For rent: Flat Hertekade 447 in Rotterdam,2385,118,3,,3011 XV,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/3e1d31d8/hertekade
For rent: Flat Burgemeester Meineszlaan in Rotterdam,2600,127,5,Upholstered,3022 BJ,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/d7be5130/burgemeester-meineszlaan
For rent: Flat Beijerlandselaan 5 B 02 in Rotterdam,2050,104,3,Upholstered,3074 EA,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/a3f184cd/beijerlandselaan
For rent: Flat Overblaak in Rotterdam,2995,100,4,Furnished,3011 MH,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/a4f27190/overblaak
For rent: Flat Mathenesserweg in Rotterdam,2650,100,4,Upholstered,3027 HM,Spangen,https://www.pararius.com/apartment-for-rent/rotterdam/52aa5334/mathenesserweg
For rent: Flat Nieuwe Binnenweg in Rotterdam,2750,103,4,Upholstered,3023 EM,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/1c192f97/nieuwe-binnenweg
For rent: Flat Van Vollenhovenstraat in Rotterdam,2500,70,2,Furnished,3016 BJ,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/574dfd7e/van-vollenhovenstraat
For rent: Flat Kleiweg in Rotterdam,1375,55,2,Furnished,3051 XR,Hillegersberg Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/700298de/kleiweg
For rent: Flat Schiehavenkade in Rotterdam,2250,108,2,Furnished,3024 EZ,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/e6c57c87/schiehavenkade
For rent: Flat Jan Pettersonstraat in Rotterdam,2500,90,3,Upholstered,3077 MN,Oud IJsselmonde,https://www.pararius.com/apartment-for-rent/rotterdam/af109d3f/jan-pettersonstraat
For rent: Flat Schiekade in Rotterdam,2250,98,3,Upholstered,3032 AK,Agniesebuurt,https://www.pararius.com/apartment-for-rent/rotterdam/1fdf6953/schiekade
For rent: Flat Zuidplein in Rotterdam,2900,88,2,Furnished,3083 CX,Zuidplein,https://www.pararius.com/apartment-for-rent/rotterdam/e3275164/zuidplein
For rent: Flat Voorschoterlaan in Rotterdam,2950,189,5,Upholstered,3062 KH,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/2c97e5b9/voorschoterlaan
For rent: Flat Wilhelminakade in Rotterdam,3250,94,3,Furnished,3072 AP,Kop van Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/405b7011/wilhelminakade
For rent: Flat Houtlaan in Rotterdam,3896,132,4,Furnished,3016 DA,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/53b1bec1/houtlaan
For rent: Flat Brede Hilledijk in Rotterdam,3250,103,3,Furnished,3072 NK,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/4e249a7d/brede-hilledijk
For rent: Flat Kruisplein 452 in Rotterdam,2450,77,3,Furnished,3012 CC,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/b194e199/kruisplein
For rent: Flat Willem Beukelszstraat in Rotterdam,2450,110,4,Upholstered,3027 CJ,Spangen,https://www.pararius.com/apartment-for-rent/rotterdam/df0bb806/willem-beukelszstraat
For rent: House Overschieseweg in Rotterdam,3495,238,8,Furnished,3044 EH,Spaanse Polder,https://www.pararius.com/house-for-rent/rotterdam/085ea87e/overschieseweg
For rent: House Marmerhof in Rotterdam,3500,190,6,,3043 KD,Overschie,https://www.pararius.com/house-for-rent/rotterdam/8795c62e/marmerhof
For rent: Flat Heemraadssingel 327 A in Rotterdam,2750,86,3,Upholstered or furnished,3023 BH,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/6a9f7d86/heemraadssingel
For rent: Flat Voorschoterlaan 78 1 in Rotterdam,2950,100,3,Furnished,3062 KS,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/4606c0d0/voorschoterlaan
For rent: Flat Bergweg in Rotterdam,2050,105,2,Shell,3036 BL,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/023b7ba9/bergweg
For rent: Flat Van Vollenhovenstraat in Rotterdam,2500,70,2,Furnished,3016 BJ,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/2cb1f64a/van-vollenhovenstraat
For rent: House Pascalweg 92 in Rotterdam,3500,201,7,Upholstered,3076 JR,Lombardijen,https://www.pararius.com/house-for-rent/rotterdam/a5389f79/pascalweg
For rent: Flat Lloydstraat in Rotterdam,1650,70,1,Upholstered or furnished,3024 EA,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/594b84e5/lloydstraat
For rent: Flat Gerrit van de Lindestraat 27 B in Rotterdam,2500,147,4,Furnished,3022 TB,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/509f3b84/gerrit-van-de-lindestraat
For rent: House Molenlaan in Rotterdam,3500,177,7,Upholstered or furnished,3055 EJ,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/f27602ba/molenlaan
For rent: Flat Samuel Soesmanstraat 17 in Rotterdam,2250,60,2,Upholstered,3015 GL,Dijkzigt,https://www.pararius.com/apartment-for-rent/rotterdam/aaca1bf7/samuel-soesmanstraat
For rent: Flat Rodenrijselaan in Rotterdam,2600,133,4,Furnished,3037 XE,Liskwartier,https://www.pararius.com/apartment-for-rent/rotterdam/014f888d/rodenrijselaan
For rent: Flat Van Vollenhovenstraat in Rotterdam,2500,70,2,Furnished,3016 BJ,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/fea49c16/van-vollenhovenstraat
For rent: Flat Kruiskade in Rotterdam,1900,84,3,Upholstered,3012 EG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/eb9edb05/kruiskade
For rent: Flat Zaagmolenstraat in Rotterdam,2000,80,4,Upholstered,3036 HK,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/1fbedffe/zaagmolenstraat
For rent: Flat Mathenesserlaan 247 B in Rotterdam,2500,68,3,Furnished,3021 HC,Middelland,https://www.pararius.com/apartment-for-rent/rotterdam/49f3457e/mathenesserlaan
For rent: Flat Mathenesserlaan 247 H in Rotterdam,3325,110,4,Furnished,3021 HC,Middelland,https://www.pararius.com/apartment-for-rent/rotterdam/1d5c8a17/mathenesserlaan
For rent: Flat Schout van Groenewegenstraat 47 A in Rotterdam,2750,100,5,,3043 ED,Overschie,https://www.pararius.com/apartment-for-rent/rotterdam/abda84f9/schout-van-groenewegenstraat
For rent: Flat Mathenesserweg in Rotterdam,5000,130,6,Upholstered,3027 HM,Spangen,https://www.pararius.com/apartment-for-rent/rotterdam/744a77b4/mathenesserweg
For rent: Flat Mauritsstraat in Rotterdam,1315,37,2,Furnished,3012 CH,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/f8b09190/mauritsstraat
For rent: Flat Hoofdweg in Rotterdam,2100,103,4,Furnished,3067 GK,Oosterflank,https://www.pararius.com/apartment-for-rent/rotterdam/d79012cf/hoofdweg
For rent: Flat Kruisplein in Rotterdam,2800,100,3,Furnished,3012 CC,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/1b632984/kruisplein
For rent: Flat Kruiskade in Rotterdam,2104,86,3,Upholstered,3012 EG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/ef57cd22/kruiskade
For rent: House Lijsterlaan 20 in Rotterdam,3250,121,6,Upholstered,3055 CH,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/d091db16/lijsterlaan
For rent: Flat Eendrachtsweg in Rotterdam,2100,50,1,Furnished,3012 LG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/e8c50393/eendrachtsweg
For rent: Flat Schiedamsesingel in Rotterdam,2800,52,2,Furnished,3012 BB,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/929a8d6c/schiedamsesingel
For rent: Flat Freericksplaats in Rotterdam,3250,122,3,Upholstered,3054 GL,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/5df3409d/freericksplaats
For rent: Flat Schieweg in Rotterdam,1500,96,3,Upholstered,3038 BG,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/35f76688/schieweg
For rent: Flat Oudedijk in Rotterdam,1440,20,1,Furnished,3061 AB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/e6a3f5d6/oudedijk
For rent: Flat Jupiterstraat in Rotterdam,1550,110,2,Shell,3054 WH,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/313255aa/jupiterstraat
For rent: Flat Voorschoterlaan 78 2 in Rotterdam,2700,100,3,Furnished,3062 KS,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/862507e2/voorschoterlaan
For rent: Flat Abraham Kuyperlaan in Rotterdam,1550,47,2,Furnished,3038 PB,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/5c09197b/abraham-kuyperlaan
For rent: Flat Prinsenlaan in Rotterdam,2500,112,3,Furnished,3066 KE,Prinsenland,https://www.pararius.com/apartment-for-rent/rotterdam/1e830e84/prinsenlaan
For rent: Flat Botersloot in Rotterdam,1900,55,2,Furnished,3011 HE,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/643896ce/botersloot
For rent: Flat Hertekade 112 in Rotterdam,2245,117,3,,3011 XV,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/72279157/hertekade
For rent: Room Schieweg in Rotterdam,750,15,1,Furnished,3038 AX,Bergpolder,https://www.pararius.com/room-for-rent/rotterdam/38c186f5/schieweg
For rent: Flat Prins Hendrikkade 156 B in Rotterdam,1895,90,3,Furnished,3071 KP,Noordereiland,https://www.pararius.com/apartment-for-rent/rotterdam/0dba150b/prins-hendrikkade
For rent: House Willem Nagellaan 2 in Rotterdam,4200,250,6,,3054 BX,Hillegersberg Noord,https://www.pararius.com/house-for-rent/rotterdam/66022e66/willem-nagellaan
For rent: Flat Weissenbruchlaan in Rotterdam,2295,84,3,Furnished,3054 LN,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/53432659/weissenbruchlaan
For rent: Flat Oudedijk in Rotterdam,1750,60,1,Furnished,3061 AB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/54242e43/oudedijk
For rent: Flat Hertekade 374 in Rotterdam,1620,82,3,,3011 XV,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/4ca8e463/hertekade
For rent: Flat Oudedijk in Rotterdam,1650,65,1,Furnished,3061 AB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/38d81a79/oudedijk
For rent: Flat Noorderhavenkade in Rotterdam,1650,80,2,Furnished,3039 RJ,Blijdorp,https://www.pararius.com/apartment-for-rent/rotterdam/280d5891/noorderhavenkade
For rent: Flat Witte de Withstraat in Rotterdam,1450,50,1,Furnished,3012 BT,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/7eee4b94/witte-de-withstraat
For rent: Flat Witte de Withstraat in Rotterdam,1425,45,1,Furnished,3012 BT,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/eed0a770/witte-de-withstraat
For rent: Flat Calandstraat in Rotterdam,2340,83,3,Furnished,3016 CB,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/35908ce8/calandstraat
For rent: Flat Westerstraat 46 in Rotterdam,2335,60,2,Upholstered or furnished,3016 DH,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/a6fcc9bb/westerstraat
For rent: Flat Dordtselaan in Rotterdam,1750,100,4,Furnished,3073 GG,Bloemhof,https://www.pararius.com/apartment-for-rent/rotterdam/5b6d1e55/dordtselaan
For rent: Flat Lloydstraat in Rotterdam,1650,65,1,Furnished,3024 EA,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/ad29e0c7/lloydstraat
For rent: Flat Piet Smitkade in Rotterdam,1795,116,3,Furnished,3077 MJ,Oud IJsselmonde,https://www.pararius.com/apartment-for-rent/rotterdam/5cdfa096/piet-smitkade
For rent: Flat Walravenstraat in Rotterdam,1382,82,3,Upholstered,3074 NL,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/76f2a287/walravenstraat
For rent: Flat Eendrachtsweg in Rotterdam,1750,50,1,Furnished,3012 LG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/c9671568/eendrachtsweg
For rent: Flat Vignolahof 14 in Rotterdam,2450,96,4,Furnished,3066 AV,Prinsenland,https://www.pararius.com/apartment-for-rent/rotterdam/b1cf9462/vignolahof
For rent: House Buitenzorg 1 in Rotterdam,3500,146,7,Furnished,3054 KX,Hillegersberg Zuid,https://www.pararius.com/house-for-rent/rotterdam/5f2952db/buitenzorg
For rent: House Lisstraat in Rotterdam,2050,116,5,,3037 RG,Liskwartier,https://www.pararius.com/house-for-rent/rotterdam/64106532/lisstraat
For rent: Flat Stadhoudersplein 123 in Rotterdam,1850,63,3,Furnished,3038 EA,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/18febb50/stadhoudersplein
For rent: Flat 's-Gravenweg in Rotterdam,4300,65,3,Furnished,3065 SC,'s-Gravenland,https://www.pararius.com/apartment-for-rent/rotterdam/fcce011c/s-gravenweg
For rent: Flat Kruiskade 119 H in Rotterdam,1900,84,2,Upholstered,3012 EG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/a3d563d2/kruiskade
For rent: House Piet van de Polsingel in Rotterdam,2750,130,6,Furnished,3056 AK,Terbregge,https://www.pararius.com/house-for-rent/rotterdam/55d69df1/piet-van-de-polsingel
For rent: House Bottelaarstraat 14 in Rotterdam,2500,135,6,Furnished,3071 JD,Feijenoord,https://www.pararius.com/house-for-rent/rotterdam/bbd09c91/bottelaarstraat
For rent: Flat Witte de Withstraat in Rotterdam,1395,45,1,Furnished,3012 BT,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/7e0e5798/witte-de-withstraat
For rent: Flat Scheepmakerspassage 109 in Rotterdam,2950,120,3,Furnished,3011 VH,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/1160fe2f/scheepmakerspassage
For rent: Flat 's-Gravenweg in Rotterdam,3800,65,2,Furnished,3065 SC,'s-Gravenland,https://www.pararius.com/apartment-for-rent/rotterdam/dfedc9f5/s-gravenweg
For rent: Flat Van Bijlandtplaats in Rotterdam,2407,110,4,Upholstered,3012 GA,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/c8a5fa9b/van-bijlandtplaats
For rent: Flat Eendrachtsweg in Rotterdam,1675,30,1,Furnished,3012 LG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/fe9693f8/eendrachtsweg
For rent: Flat Wilhelminakade in Rotterdam,3500,136,4,Furnished,3072 AP,Kop van Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/c8b6c71f/wilhelminakade
For rent: Flat Weena in Rotterdam,2995,65,1,Furnished,3014 DA,Cs Kwartier,https://www.pararius.com/apartment-for-rent/rotterdam/a9ccc133/weena
For rent: Flat Ochterveltstraat in Rotterdam,2250,70,2,Furnished,3015 XL,Oude Westen,https://www.pararius.com/apartment-for-rent/rotterdam/d6724f0d/ochterveltstraat
For rent: Flat Witte de Withstraat in Rotterdam,1800,40,1,Furnished,3012 BN,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/a9a32681/witte-de-withstraat
For rent: Flat Witte de Withstraat in Rotterdam,1295,50,1,Furnished,3012 BT,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/c343e628/witte-de-withstraat
For rent: Flat Witte de Withstraat in Rotterdam,1395,50,1,Furnished,3012 BT,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/1ac194b8/witte-de-withstraat
For rent: Flat Jufferstraat in Rotterdam,3000,109,3,Upholstered,3011 XM,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/54364df0/jufferstraat
For rent: Flat Oudedijk in Rotterdam,1425,25,1,Furnished,3061 AB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/031eb4cf/oudedijk
For rent: Flat Witte de Withstraat in Rotterdam,1800,45,1,Furnished,3012 BN,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/17e0ec4f/witte-de-withstraat
For rent: Flat Maasboulevard 196 in Rotterdam,2500,105,3,Furnished,3011 TX,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/8a967c9e/maasboulevard
